,Назва,Правовий статус,ЄДРПОУ,Кількість осіб,Класи наслідків,Посилання
0,"ТОВ Перша приватна експертиза""",Юридична особа,42111582,21,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508182021468?org_type=1
1,"КП ""Київекспертиза""",Юридична особа,21606480,15,"['СС1', 'СС2']",/organizations_detail/2268956508190410101?org_type=1
2,"КП Івано-Франківської обласної ради ""Про-Експерт""",Юридична особа,39031057,7,"['СС1', 'СС2']",/organizations_detail/2268956508190410090?org_type=1
3,"Філія  ТОВ ""Українська будівельно-технічна  експертиза""   у Львівській   області",Юридична особа,39622738,,[],/organizations_detail/2502299984028763248?org_type=1
4,Товариство з обмеженою відповідальністю «ЗОДЧІ - 2012»,Юридична особа,38394771,,[],/organizations_detail/2624119633333978870?org_type=1
5,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНСТРАТЕГІЯ-БУДЕКСПЕРТИЗА""",Юридична особа,37536838,,[],/organizations_detail/2283351184808871589?org_type=1
6,Одеська обласна служба Української Державної Інвестиційної експертизи,Юридична особа,22477079,,[],/organizations_detail/2410967617373209671?org_type=1
7,"ТОВ ""Енерджі Консалтінг""",Юридична особа,38449817,3,['СС1'],/organizations_detail/2268956508198798730?org_type=1
8,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ІНСТИТУТ ЗАЛІЗНИЧНОГО ТРАНСПОРТУ УКРАЇНИ ""УКРЗАЛІЗНИЧПРОЕКТ""",Юридична особа,01095913,,[],/organizations_detail/2283351169063454668?org_type=1
9,"ТОВ ""Укрекспертиза в будівництві""",Юридична особа,38781094,6,"['СС1', 'СС2']",/organizations_detail/2268956508190410095?org_type=1
10,"ТОВ ""НВФ ""Інпроект""",Юридична особа,21559964,8,"['СС1', 'СС2']",/organizations_detail/2268956508190410087?org_type=1
11,"ТОВ ""Проджект Скан""",Юридична особа,41308237,9,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410091?org_type=1
12,"ТОВ ""Буд-Вік""",Юридична особа,33181649,3,['СС1'],/organizations_detail/2268956508198798732?org_type=1
13,ТОВ Центр експертиз проектів,Юридична особа,42141816,,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508198798722?org_type=1
14,"Представництво  ТОВ “Центр Експертиз Проектів""  у Вінницькій області",Юридична особа,42308636,,[],/organizations_detail/2348987130065192376?org_type=1
15,"Регіональне представництво  ТОВ ""Експерт Проект Груп"" в Кіровоградській області",Юридична особа,41961773,,[],/organizations_detail/2348972076322260256?org_type=1
16,"Регіональне представництво  ТОВ ""Укрекспертиза у будівництві""  в Волинській області",Юридична особа,41732686,,[],/organizations_detail/2348975571536446791?org_type=1
17,"Регіональне представництво  ТОВ ""Укрекспертиза у будівництві""  в Дніпропетровській област",Юридична особа,41959114,,[],/organizations_detail/2348976429632324938?org_type=1
18,"Регіональне представництво  ТОВ ""Укрекспертиза у будівництві""  в Житомирській області",Юридична особа,41732691,,[],/organizations_detail/2348976910903543117?org_type=1
19,"Регіональне представництво ТОВ ""Укрекспертиза у будівництві""  в Закарпатській області",Юридична особа,41738630,,[],/organizations_detail/2348977029140972880?org_type=1
20,"Регіональне представництво ТОВ ""Укрекспертиза у будівництві""  в  Івано-Франківській області",Юридична особа,41705118,,[],/organizations_detail/2348977258611344723?org_type=1
21,"Регіональне представництво ТОВ ""Укрекспертиза у будівництві"" в  Херсонській області",Юридична особа,41738646,,[],/organizations_detail/2348977452623070550?org_type=1
22,"Регіональне представництво ТОВ ""Укрекспертиза у будівництві"" в  Рівненскій області",Юридична особа,42320187,,[],/organizations_detail/2348977599566316889?org_type=1
23,"Міжрегіональне представництво ТОВ ""Укрекспертиза у будівництві"" в  Черкаській області",Юридична особа,42572752,,[],/organizations_detail/2348977900667012444?org_type=1
24,"Регіональне представництво ТОВ ""Укрекспертиза у будівництві"" в  Харківській області",Юридична особа,42649636,,[],/organizations_detail/2348978046444242271?org_type=1
25,"Регіональне представництво ТОВ ""Українська будівельна експертиза""   у Хмельницькій  області",Юридична особа,41540819,,[],/organizations_detail/2348984501603927460?org_type=1
26,Представництво  ТОВ “Центр Експертиз Проектів”   у Дніпропетровській області,Юридична особа,42301761,,[],/organizations_detail/2348987342171145659?org_type=1
27,Представництво ТОВ “Центр Експертиз Проектів”  у Луганській області,Юридична особа,42291633,,[],/organizations_detail/2348987733701035454?org_type=1
28,Представництво  ТОВ “Центр Експертиз Проектів”  у Донецькій області,Юридична особа,42316469,,[],/organizations_detail/2348988996832462295?org_type=1
29,"Представництво ТОВ  ""Центр Експертиз Проектів"" у Запорізькій області",Юридична особа,42291607,,[],/organizations_detail/2348989494461466074?org_type=1
30,Представництво ТОВ “Центр Експертиз Проектів”  у Львівській області,Юридична особа,42291612,,[],/organizations_detail/2348989791946671581?org_type=1
31,Представництво ТОВ “Центр Експертиз Проектів”  в Одеській області,Юридична особа,42274995,,[],/organizations_detail/2348990052656219620?org_type=1
32,Представництво ТОВ “Центр Експертиз Проектів”  у Харківській області,Юридична особа,42275009,,[],/organizations_detail/2348990185506604519?org_type=1
33,Представництво ТОВ “Центр Експертиз Проектів”  у Чернігівській області,Юридична особа,43441978,,[],/organizations_detail/2348990412292621802?org_type=1
34,ЛЬВІВСЬКА ОБЛАСНА СЛУЖБА УКРАЇНСЬКОЇ ДЕРЖАВНОЇ ІНВЕСТИЦІЙНОЇ ЕКСПЕРТИЗИ,Юридична особа,02165937,,[],/organizations_detail/2364550799943533845?org_type=1
35,Філія ТОВ Укрбудекспертиза,Юридична особа,20226321,,[],/organizations_detail/2389196978819957952?org_type=1
36,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЧОРНОМОРСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖГІРПРОМНАГЛЯДУ УКРАЇНИ""",Юридична особа,20950040,,[],/organizations_detail/2283351170875393281?org_type=1
37,Філія ТОВ «Укрбудекспертиза» в Івано-Франківській області,Юридична особа,38388506,,[],/organizations_detail/2484130708453328009?org_type=1
38,"Філія ТзОВ ""Українська будівельно-технічна експертиза"" в Івано-Франківській області",Юридична особа,39622771,,[],/organizations_detail/2484114421383693722?org_type=1
39,Одеська філія ТОВ «Українська будівельно -технічна експертиза»,Юридична особа,39367817,,[],/organizations_detail/2414587206027969907?org_type=1
40,"ТЕРНОПІЛЬСЬКА ФІЛІЯ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКА БУДІВЕЛЬНО-ТЕХНІЧНА ЕКСПЕРТИЗА""",Юридична особа,39357966,,[],/organizations_detail/2485661827048932989?org_type=1
41,"ПП ""Бердянськміськбуд""",Юридична особа,34667273,13,"['СС1', 'СС2']",/organizations_detail/2268956508198798729?org_type=1
42,Представництво  у Донецькій області ТОВ “Центр комплексних експертиз проектів”,Юридична особа,44056555,,[],/organizations_detail/3016920605292234717?org_type=1
43,"Представництво у Хмельницькій області ТОВ ""Центр комплексних експертиз проектів""",Юридична особа,44881942,,[],/organizations_detail/3016923784339784822?org_type=1
44,"Представництво у Чернігівській області ТОВ ""Центр комплексних експертиз проектів""",Юридична особа,44673409,,[],/organizations_detail/3016925193491711571?org_type=1
45,"Представництво у Рівненській області ТОВ ""Центр комплексних експертиз проектів""",Юридична особа,44484883,,[],/organizations_detail/3016922352899327861?org_type=1
46,"ТОВ ""Національна будівельна експертиза""",Юридична особа,41107491,12,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410092?org_type=1
47,ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРЕКСПЕРТИЗА ГРУП» У ЖИТОМИРСЬКІЙ ОБЛАСТІ,Юридична особа,44365992,,[],/organizations_detail/3018341482428893017?org_type=1
48,"ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" В ЗАКАРПАТСЬКІЙ ОБЛАСТІ",Юридична особа,44130790,,[],/organizations_detail/3018332470941583114?org_type=1
49,ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРЕКСПЕРТИЗА ГРУП» У КІРОВОГРАДСЬКІЙ ОБЛАСТІ,Юридична особа,44389942,,[],/organizations_detail/3018334885090690784?org_type=1
50,"Найменування відокремленого підрозділу ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" В ЛУГАНСЬКІЙ ОБЛАСТІ",Юридична особа,44007466,,[],/organizations_detail/3018336398731118509?org_type=1
51,"ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" В ЧЕРНІГІВСЬКІЙ ОБЛАСТІ",Юридична особа,44079221,,[],/organizations_detail/3018337554278646805?org_type=1
52,ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРЕКСПЕРТИЗА ГРУП» У ВІННИЦЬКІЙ ОБЛАСТІ,Юридична особа,44160228,,[],/organizations_detail/3018339194880657255?org_type=1
53,ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРЕКСПЕРТИЗА ГРУП» У ХАРКІВСЬКІЙ ОБЛАСТІ,Юридична особа,44390963,,[],/organizations_detail/3018340059167327624?org_type=1
54,ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРЕКСПЕРТИЗА ГРУП» У ХЕРСОНСЬКІЙ ОБЛАСТІ,Юридична особа,44237096,,[],/organizations_detail/3018342715210336016?org_type=1
55,"ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" У ПОЛТАВСЬКІЙ ОБЛАСТІ",Юридична особа,44535761,,[],/organizations_detail/3018345105460298922?org_type=1
56,"ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" В ЧЕРКАСЬКІЙ ОБЛАСТІ",Юридична особа,44103175,,[],/organizations_detail/3018346869156742735?org_type=1
57,"ПРЕДСТАВНИЦТВО ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРЕКСПЕРТИЗА ГРУП"" У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ",Юридична особа,44757897,,[],/organizations_detail/3018347873038238900?org_type=1
58,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ ""АРХІТЕКТУРНО-ПЛАНУВАЛЬНЕ БЮРО""",Юридична особа,23244325,4,[],/organizations_detail/2718889321087108909?org_type=1
59,"ТОВ ""ЕКСПЕРТНО-ІНСПЕКЦІЙНИЙ ЦЕНТР"" ""ПІВДЕНЬ БУДЕКСПЕРТИЗА""",Юридична особа,43175893,25,"['СС1', 'СС2', 'СС3']",/organizations_detail/2510344242027562220?org_type=1
60,"ТОВ ""Будівельний консалтинг та експертиза""",Юридична особа,41768326,9,"['СС1', 'СС2']",/organizations_detail/2268956508190410086?org_type=1
61,КИЇВСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ СУДОВИХ ЕКСПЕРТИЗ МІНІСТЕРСТВА ЮСТИЦІЇ УКРАЇНИ,Юридична особа,02883096,9,['СС1'],/organizations_detail/2591548960623560074?org_type=1
62,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СІВЕРЕКСПЕРТ""",Юридична особа,38647423,18,[],/organizations_detail/2774802988563170962?org_type=1
63,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОНСАЛТИНГОВА АГЕНЦІЯ ""ГАЛІЛЕО""",Юридична особа,40716972,23,"['СС1', 'СС2', 'СС3']",/organizations_detail/3301715383408395833?org_type=1
64,"ТОВ ""ЦЕНТР БУДІВЕЛЬНИХ ЕКСПЕРТИЗ ТА ПРАВОВИХ РІШЕНЬ""",Юридична особа,44771288,14,"['СС1', 'СС2', 'СС3']",/organizations_detail/3258348889433965986?org_type=1
65,"ТОВ ""ЕК УКРБУДЕКСПЕРТ""",Юридична особа,45379647,8,['СС1'],/organizations_detail/3308350417951262181?org_type=1
66,"ДП ""ДПІ  Кривбаспроект""",Юридична особа,04689369,12,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410094?org_type=1
67,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""єЕкспертиза""",Юридична особа,45363071,8,['СС1'],/organizations_detail/3339528788856800616?org_type=1
68,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТИЗА МВК""",Юридична особа,39292946,79,[],/organizations_detail/2932064199435617408?org_type=1
69,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПЕРША БУДІВЕЛЬНА ЕКСПЕРТИЗА""",Юридична особа,41134902,44,"['СС1', 'СС2', 'СС3']",/organizations_detail/2616792507215775494?org_type=1
70,"ТОВ ""ЄВРОЕКСПЕРТИЗА""",Юридична особа,44209844,25,"['СС1', 'СС2', 'СС3']",/organizations_detail/2662497611142923696?org_type=1
71,"ДП ""Київоблбудінвест""",Юридична особа,40257365,34,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410082?org_type=1
72,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «НАУКОВО-ЕКСПЕРТНИЙ ЦЕНТР БУДІВЕЛЬНИХ ТЕХНОЛОГІЙ ""ЕКСПЕРТИЗА ЗО""»",Юридична особа,38382038,23,"['СС1', 'СС2', 'СС3']",/organizations_detail/3286516552496580388?org_type=1
73,"ТОВ ""УКРЕКСПЕРТИЗА ГРУП""",Юридична особа,42287124,75,"['СС1', 'СС2', 'СС3']",/organizations_detail/2358008180211975982?org_type=1
74,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕМБУДКОНСАЛТІНГ""",Юридична особа,42974592,32,"['СС1', 'СС2', 'СС3', 'не застосовується']",/organizations_detail/2642142553419285931?org_type=1
75,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОФІС ПРОЕКТІВ МІСТОБУДУВАННЯ""",Юридична особа,43252443,24,"['СС1', 'СС2', 'СС3']",/organizations_detail/3104005979847526377?org_type=1
76,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНСПЕКТРУМ""",Юридична особа,41308216,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/2461104019246941734?org_type=1
77,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛУГЕКСПЕРТИЗА""",Юридична особа,38681312,11,[],/organizations_detail/3412162826284828631?org_type=1
78,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЦЕНТР ЕКСПЕРТИЗИ""",Юридична особа,41632988,17,[],/organizations_detail/3430795033333204725?org_type=1
79,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОЕКСП""",Юридична особа,40993694,36,[],/organizations_detail/3424282394738296826?org_type=1
80,ТОВ «Професійна будівельна експертиза»,Юридична особа,43664037,13,"['СС1', 'СС2']",/organizations_detail/2593031723767825513?org_type=1
81,"Товариство з обмеженою відповідальністю ""Будівельна експертиза проектів""",Юридична особа,44637203,12,"['СС1', 'СС2']",/organizations_detail/2982283359591335198?org_type=1
82,"ТОВ ""ЕРА""",Юридична особа,45209651,10,"['СС1', 'СС2', 'СС3']",/organizations_detail/3322788933888115841?org_type=1
83,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КИЇВСЬКА ЕКСПЕРТИЗА""",Юридична особа,45423926,28,"['СС1', 'СС2', 'СС3']",/organizations_detail/3454698524342486514?org_type=1
84,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ТЕРНОБУДТЕХЕКСПЕРТ""",Юридична особа,35308234,11,"['СС1', 'СС2']",/organizations_detail/2601550042657457513?org_type=1
85,"ТОВ ""ЕкспертБудКонсалт""",Юридична особа,43644115,16,"['СС1', 'СС2']",/organizations_detail/2542923469314590389?org_type=1
86,"ТОВ  ""НВП ""Міжрегіональна будівельна експертиза""",Юридична особа,40719528,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410084?org_type=1
87,"ДП ""Жилком""",Юридична особа,32350021,20,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508182021471?org_type=1
88,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКА БУДІВЕЛЬНА ЕКСПЕРТИЗА""",Юридична особа,37635443,22,"['СС1', 'СС2', 'СС3']",/organizations_detail/2629071494696666272?org_type=1
89,"Товариство з обмеженою відповідальністю ""ЦЕНТРАЛЬНА БУДІВЕЛЬНА ЕКСПЕРТИЗА""",Юридична особа,43990770,4,['СС1'],/organizations_detail/2623340604129543755?org_type=1
90,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БУДЕКСП ЮКРЕЙН""",Юридична особа,43727704,17,[],/organizations_detail/3484010939039090242?org_type=1
91,"ТОВ ""Будпроектекспертиза""",Юридична особа,41054749,19,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410089?org_type=1
92,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НАУКОВО-ТЕХНІЧНИЙ ЦЕНТР БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,44862605,9,"['СС1', 'СС2']",/organizations_detail/3445218336210683166?org_type=1
93,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКА АРХІТЕКТУРНО-ПРОЕКТНА КОМПАНІЯ""",Юридична особа,42636021,12,[],/organizations_detail/2632103795496060601?org_type=1
94,"ТОВ ""ПЕРШИЙ ЦЕНТР БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,40176460,10,"['СС1', 'СС2', 'СС3']",/organizations_detail/2466073995875714725?org_type=1
95,"ТОВ ""Інститут експертно-технічних рішень у будівництві""",Юридична особа,41230758,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410108?org_type=1
96,"НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ""ІНСТИТУТ СУДОВИХ ЕКСПЕРТИЗ ІМ. ЗАСЛ. ПРОФ. М.С. БОКАРІУСА"" МІНІСТЕРСТВА ЮСТИЦІЇ УКРАЇНИ",Юридична особа,02883133,6,[],/organizations_detail/3425603237607114331?org_type=1
97,"Акціонерне товариство ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ""",Юридична особа,40075815,34,[],/organizations_detail/2283351188642465313?org_type=1
98,"ДП ""Західний ЕТЦ """,Юридична особа,20774790,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508182021469?org_type=1
99,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНВЕСТ ЕКСПЕРТ ГРУП""",Юридична особа,45070984,26,[],/organizations_detail/3236735439813477938?org_type=1
100,"ТОВ ""Агенція незалежного  інспектування ""Експерт""",Юридична особа,39796515,22,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508198798725?org_type=1
101,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНЖЕНЕРНО-БУДІВЕЛЬНЕ БЮРО""",Юридична особа,43484400,14,"['СС1', 'СС2', 'СС3']",/organizations_detail/2732849584337323171?org_type=1
102,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НАУКОВО-ДОСЛІДНА ВИРОБНИЧО-ТЕХНІЧНА АГЕНЦІЯ ""СТРАТЕГІЯ РЕГІОНАЛЬНОГО РОЗВИТКУ""",Юридична особа,35829997,17,"['СС1', 'СС2', 'СС3']",/organizations_detail/2861289852891039510?org_type=1
103,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ ТА ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ІНСТИТУТ ""НДІПРОЕКТРЕКОНСТРУКЦІЯ""",Юридична особа,04653199,78,"['СС1', 'СС2', 'СС3']",/organizations_detail/3265688080215967362?org_type=1
104,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПІВДЕНЬЕКСПЕРТПРОЕКТ""",Юридична особа,40453762,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/3317076890602177576?org_type=1
105,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТ ПРОЕКТ ГРУП""",Юридична особа,41403089,23,"['СС1', 'СС2', 'СС3']",/organizations_detail/2707420013945423210?org_type=1
106,"ТОВ ""ІСБ-ЕКСПЕРТИЗА""",Юридична особа,45658858,3,['СС1'],/organizations_detail/3419874106105923301?org_type=1
107,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТИЗА ЮА""",Юридична особа,45251504,23,[],/organizations_detail/3500274234335167682?org_type=1
108,"Товариство з обмеженою відповідальністю ""НОВА-ЕКСПЕРТ""",Юридична особа,44608764,26,"['СС1', 'СС2', 'СС3']",/organizations_detail/2923502891857610736?org_type=1
109,"ТОВ ""Укрекспертбудпроект""",Юридична особа,41839133,13,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410109?org_type=1
110,"ТОВ ""ДН-Консалтинг""",Юридична особа,35114747,30,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410098?org_type=1
111,"Вінницька обласна комунальна установа ""Служба технічного нагляду за об'єктами житлово-комунального господарства""",Юридична особа,34213875,16,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410102?org_type=1
112,"ТОВ ""ЕКСПЕРТ ЛАЙН""",Юридична особа,41399518,37,[],/organizations_detail/3517120592388031654?org_type=1
113,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНБУД-ЕКСПЕРТ""",Юридична особа,41339375,22,[],/organizations_detail/3488700643357493116?org_type=1
114,"ТОВ ""Українська міжрегіональна будівельна експертиза",Юридична особа,39330499,18,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508198798721?org_type=1
115,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГЕНТСТВО БУДІВЕЛЬНИХ ЕКСПЕРТИЗ""",Юридична особа,40781774,33,"['СС1', 'СС2', 'СС3']",/organizations_detail/2636329663143610328?org_type=1
116,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ВЕСТ БУД ЕКСПЕРТИЗА»,Юридична особа,44966795,15,[],/organizations_detail/3483561813268760487?org_type=1
117,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІНСТРАТЕГІЯ-БУДТЕХЕКСПЕРТИЗА""",Юридична особа,41754480,20,"['СС1', 'СС2', 'СС3']",/organizations_detail/3432909795311486543?org_type=1
118,"Товариство з обмеженою відповідальністю ""УК ЕКСПЕРТИЗА""",Юридична особа,42431096,29,"['СС1', 'СС2', 'СС3']",/organizations_detail/2682159770424575313?org_type=1
119,ТОВ «Центр комплексних експертиз проектів»,Юридична особа,43598352,21,"['СС1', 'СС2', 'СС3']",/organizations_detail/2512503685288822416?org_type=1
120,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКСПЕРТНА КОМПАНІЯ ""ОСНОВА""",Юридична особа,45047630,35,"['СС1', 'СС2', 'СС3']",/organizations_detail/3129346963183503242?org_type=1
121,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ВІНПРОЕКТПРОМКОМПЛЕКС""",Юридична особа,33685223,3,[],/organizations_detail/2283351178609689980?org_type=1
122,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОСПЕР КБЗ""",Юридична особа,37189882,6,['СС1'],/organizations_detail/2687106207813994099?org_type=1
123,"ТОВ ""Українська будівельно-технічна експертиза""",Юридична особа,39190177,49,"['СС1', 'СС2', 'СС3']",/organizations_detail/2268956508190410100?org_type=1
124,"Товариство з обмеженою відповідальністю ""Вітрувій Експерт""",Юридична особа,43258183,24,"['СС1', 'СС2', 'СС3']",/organizations_detail/2734326279783319305?org_type=1
125,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНА ДЕРЖАВНА ЕКСПЕРТНА ОРГАНІЗАЦІЯ-ЦЕНТРАЛЬНА СЛУЖБА УКРАЇНСЬКОЇ ДЕРЖАВНОЇ БУДІВЕЛЬНОЇ ЕКСПЕРТИЗИ""",Юридична особа,35691621,172,[],/organizations_detail/3161212977261053618?org_type=1
126,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БУДЕКСПЕРТ-ІФ""",Юридична особа,42845258,5,[],/organizations_detail/3565674825735210675?org_type=1
127,"Товариство з обмеженою відповідальністю ""ЕКОЕКСПЕРТИЗА""",Юридична особа,44525374,18,"['СС1', 'СС2', 'СС3']",/organizations_detail/2734324729333679394?org_type=1
